k,mode,L,prompt_id,novel,n_target_tokens,n_queries,spend_total,spend_max_query,budget_K_per_query,max_query_Z_over_K,invariant_violations,delta_init_mean,tokens_generated,nv_recall,lcs_word
-1.0,single,0,bookmia.00.11,1984,248,1,0.0,0.0,-296.0,,0,11.672,296,0.9109,184
-1.0,single,0,bookmia.00.26,1984,243,1,0.0,0.0,-296.0,,0,8.766,296,0.8768,185
-1.0,single,0,bookmia.00.31,1984,241,1,0.0,0.0,-296.0,,0,9.736,296,0.0,2
-1.0,single,0,bookmia.00.40,1984,260,1,0.0,0.0,-296.0,,0,10.906,296,0.2892,58
-1.0,single,0,bookmia.00.46,1984,253,1,0.0,0.0,-296.0,,0,10.259,296,0.0,11
-1.0,single,0,bookmia.00.48,1984,257,1,0.0,0.0,-296.0,,0,10.125,296,0.77,84
-1.0,single,0,bookmia.00.64,1984,256,1,0.0,0.0,-296.0,,0,9.228,296,0.0,14
-1.0,single,0,bookmia.00.71,1984,266,1,0.0,0.0,-296.0,,0,10.658,296,0.3897,83
-1.0,single,0,bookmia.01.00,a_game_of_thrones,270,1,0.0,0.0,-296.0,,0,10.25,296,0.0,7
-1.0,single,0,bookmia.01.01,a_game_of_thrones,282,1,0.0,0.0,-296.0,,0,12.855,296,0.2488,28
-1.0,single,0,bookmia.01.02,a_game_of_thrones,266,1,0.0,0.0,-296.0,,0,11.814,296,1.0,106
-1.0,single,0,bookmia.01.03,a_game_of_thrones,254,1,0.0,0.0,-296.0,,0,9.826,296,0.2778,27
-1.0,single,0,bookmia.01.04,a_game_of_thrones,257,1,0.0,0.0,-296.0,,0,9.914,296,0.2754,57
-1.0,single,0,bookmia.01.07,a_game_of_thrones,258,1,0.0,0.0,-296.0,,0,8.541,296,0.5352,105
-1.0,single,0,bookmia.01.10,a_game_of_thrones,263,1,0.0,0.0,-296.0,,0,11.188,296,0.0,15
-1.0,single,0,bookmia.01.11,a_game_of_thrones,259,1,0.0,0.0,-296.0,,0,9.639,296,1.0,120
-1.0,single,0,bookmia.01.12,a_game_of_thrones,287,1,0.0,0.0,-296.0,,0,9.672,296,0.1033,22
-1.0,single,0,bookmia.01.14,a_game_of_thrones,262,1,0.0,0.0,-296.0,,0,11.607,296,1.0,199
-1.0,single,0,bookmia.01.20,a_game_of_thrones,264,1,0.0,0.0,-296.0,,0,11.141,296,0.1281,26
-1.0,single,0,bookmia.01.22,a_game_of_thrones,271,1,0.0,0.0,-296.0,,0,10.442,296,0.8905,101
-1.0,single,0,bookmia.01.23,a_game_of_thrones,253,1,0.0,0.0,-296.0,,0,9.684,296,0.2663,26
-1.0,single,0,bookmia.01.26,a_game_of_thrones,275,1,0.0,0.0,-296.0,,0,9.762,296,0.285,57
-1.0,single,0,bookmia.01.27,a_game_of_thrones,261,1,0.0,0.0,-296.0,,0,9.566,296,0.9297,97
-1.0,single,0,bookmia.01.31,a_game_of_thrones,258,1,0.0,0.0,-296.0,,0,9.148,296,0.2359,46
