tokenizer,vocab,n_texts,chars,tokens,chars_per_token,seed20_chars,seed20_words,group
alea-institute/kl3m-002-170m,32768,608,716816,361900,1.9807,43.4,7.45,fine
alea-institute/kl3m-002-520m,32768,608,716816,361900,1.9807,43.4,7.45,fine
alea-institute/kl3m-003-1.7b,32768,608,716816,361900,1.9807,43.4,7.45,fine
alea-institute/kl3m-003-3.7b,32768,608,716816,361900,1.9807,43.4,7.45,fine
common-pile/comma-v0.1-1t,64000,608,716816,198127,3.618,78.69,14.13,coarse
common-pile/comma-v0.1-2t,64000,608,716816,198127,3.618,78.69,14.13,coarse
microsoft/Phi-3.5-mini-instruct,32011,608,716816,189656,3.7796,77.6,13.94,coarse
PleIAs/Pleias-350m-Preview,65536,608,716816,179205,4.0,77.06,13.86,coarse
PleIAs/Pleias-3b-Preview,65536,608,716816,179205,4.0,77.06,13.86,coarse
PleIAs/Pleias-1.2b-Preview,65536,608,716816,178597,4.0136,81.23,14.58,coarse
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,128256,608,716816,171481,4.1801,83.55,15.02,coarse
meta-llama/Llama-3.2-1B,128256,608,716816,171481,4.1801,83.55,15.02,coarse
meta-llama/Llama-3.2-3B-Instruct,128256,608,716816,171481,4.1801,83.55,15.02,coarse
Qwen/Qwen2.5-7B-Instruct,151665,608,716816,171420,4.1816,87.66,15.8,coarse
