k,mode,L,constraint,n_passages,n_queries_mean,nv_recall_mean,nv_recall_median,nv_recall_ge_0p8_pct,lcs_word_mean,lcs_word_max,spend_total_mean,max_query_Z_over_K,R_total_mean,max_query_R_over_K,attempts_per_window,windows_matched_pct,invariant_violations
-1.0,single,0,kl,100,1,0.4921,0.4141,29.0,81.34,214,0.0,0,767.47,0,1.0,0.0,0
-1.0,oracle,20,kl,100,13.5,0.8826,0.9118,84.0,117.48,219,0.0,0,837.77,0,1.0,73.2,0
-1.0,oracle,50,kl,100,5.8,0.8074,0.8506,64.0,107.35,219,0.0,0,867.63,0,1.0,47.4,0
-1.0,chained,20,kl,100,13.5,0.4716,0.4092,29.0,79.77,219,0.0,0,684.93,0,1.0,0.0,0
-1.0,chained,50,kl,100,5.8,0.5314,0.5772,34.0,84.99,219,0.0,0,774.11,0,1.0,0.0,0
0.0,single,0,kl,100,1,0.0,0.0,0.0,1.73,4,0.0,0,0.0,0,1.0,0.0,0
0.0,oracle,20,kl,100,13.5,0.0,0.0,0.0,2.71,11,0.0,0,0.0,0,1.0,0.0,0
0.0,oracle,50,kl,100,5.8,0.0032,0.0,0.0,3.79,23,0.0,0,0.0,0,1.0,0.0,0
0.0,chained,20,kl,100,13.5,0.0,0.0,0.0,1.62,4,0.0,0,0.0,0,1.0,0.0,0
0.0,chained,50,kl,100,5.8,0.0,0.0,0.0,1.74,4,0.0,0,0.0,0,1.0,0.0,0
3.0,single,0,kl,100,1,0.0116,0.0,0.0,4.57,95,575.81,0.9488,578.29,0.965,1.0,0.0,0
3.0,oracle,20,kl,100,13.5,0.0009,0.0,0.0,10.08,19,470.9,0.8442,470.11,1.2047,1.0,0.2,0
3.0,oracle,50,kl,100,5.8,0.0965,0.0,0.0,18.19,42,585.57,0.917,585.23,1.0496,1.0,0.0,0
3.0,chained,20,kl,100,13.5,0.0014,0.0,0.0,2.49,16,319.27,0.8442,307.4,1.1329,1.0,0.0,0
3.0,chained,50,kl,100,5.8,0.0061,0.0,0.0,3.67,43,488.14,0.9124,481.61,1.0496,1.0,0.0,0
5.0,single,0,kl,100,1,0.0925,0.0,5.0,19.26,206,624.52,0.5942,628.61,0.6053,1.0,0.0,0
5.0,oracle,20,kl,100,13.5,0.0275,0.0,0.0,14.43,34,580.18,0.8133,579.51,0.872,1.0,2.4,0
5.0,oracle,50,kl,100,5.8,0.2301,0.1862,0.0,28.49,83,670.32,0.8756,671.72,0.8572,1.0,2.1,0
5.0,chained,20,kl,100,13.5,0.0031,0.0,0.0,4.63,33,416.37,0.7953,406.78,0.8572,1.0,0.0,0
5.0,chained,50,kl,100,5.8,0.0335,0.0,0.0,7.39,43,555.03,0.8756,550.03,0.8572,1.0,0.0,0
10.0,single,0,kl,100,1,0.2005,0.0,10.0,35.61,199,673.97,0.3348,672.85,0.3338,1.0,0.0,0
10.0,oracle,20,kl,100,13.5,0.189,0.1631,0.0,23.86,83,685.41,0.5315,683.03,0.5329,1.0,16.7,0
10.0,oracle,50,kl,100,5.8,0.4103,0.4027,3.0,41.69,84,739.48,0.4621,737.84,0.4634,1.0,12.0,0
10.0,chained,20,kl,100,13.5,0.0264,0.0,0.0,9.59,43,479.48,0.5107,472.76,0.521,1.0,0.0,0
10.0,chained,50,kl,100,5.8,0.1108,0.0,2.0,17.67,77,608.0,0.4621,601.7,0.4634,1.0,0.0,0
20.0,single,0,kl,100,1,0.4759,0.3674,28.0,78.63,214,761.26,0.1775,762.28,0.1795,1.0,0.0,0
20.0,oracle,20,kl,100,13.5,0.8579,0.8924,74.0,112.23,219,831.15,0.2915,830.01,0.2971,1.0,71.4,0
20.0,oracle,50,kl,100,5.8,0.7865,0.8178,57.0,101.91,219,859.82,0.2581,859.56,0.2652,1.0,46.2,0
20.0,chained,20,kl,100,13.5,0.4408,0.3539,27.0,74.34,219,678.38,0.2915,671.59,0.2971,1.0,0.0,0
20.0,chained,50,kl,100,5.8,0.505,0.4767,33.0,78.74,219,763.33,0.2581,763.46,0.2652,1.0,0.0,0
