k,bank_cap,mode,L,n_passages,nv_recall_mean,nv_recall_ge_0p8_pct,lcs_word_mean,spend_total_mean,max_query_Z_over_K,invariant_violations,run
10.0,10,chained,50,100,0.066,2.0,11.92,594.89,0.4193,0,bank_cap_k10_10
10.0,10,oracle,50,100,0.3863,1.0,41.53,731.17,0.4193,0,bank_cap_k10_10
10.0,10,single,0,100,0.1157,5.0,21.6,635.92,0.3131,0,bank_cap_k10_10
10.0,50,chained,50,100,0.0876,2.0,15.42,603.99,0.4586,0,bank_cap_k10_50
10.0,50,oracle,50,100,0.4131,1.0,44.6,744.33,0.4586,0,bank_cap_k10_50
10.0,50,single,0,100,0.1727,9.0,30.41,655.55,0.3302,0,bank_cap_k10_50
10.0,none,chained,50,100,0.1108,2.0,17.67,608.0,0.4621,0,comp8b_kl
10.0,none,oracle,50,100,0.4103,3.0,41.69,739.48,0.4621,0,comp8b_kl
10.0,none,single,0,100,0.2005,10.0,35.61,673.97,0.3348,0,comp8b_kl
20.0,20,chained,50,100,0.4687,28.0,79.18,754.04,0.2578,0,bank_cap_k20_20
20.0,20,oracle,50,100,0.7983,57.0,108.02,866.74,0.2578,0,bank_cap_k20_20
20.0,20,single,0,100,0.4606,27.0,76.32,765.82,0.1777,0,bank_cap_k20_20
20.0,none,chained,50,100,0.505,33.0,78.74,763.33,0.2581,0,comp8b_kl
20.0,none,oracle,50,100,0.7865,57.0,101.91,859.82,0.2581,0,comp8b_kl
20.0,none,single,0,100,0.4759,28.0,78.63,761.26,0.1775,0,comp8b_kl
