alpha,F,n_pairs,log10_lo,log10_hi,log10_spread
2.0,0.85,8,1.557,4.47,2.913
2.0,0.9,8,0.935,3.923,2.988
2.0,0.95,8,-0.069,3.494,3.563
2.0,0.98,8,-0.903,2.644,3.547
2.0,0.99,8,-1.118,1.838,2.957
4.0,0.85,8,0.677,7.01,6.334
4.0,0.9,8,-1.249,6.436,7.685
4.0,0.95,8,-2.867,4.893,7.76
4.0,0.98,8,-2.93,2.843,5.773
4.0,0.99,8,-2.349,1.775,4.125
8.0,0.85,8,-6.057,7.298,13.356
8.0,0.9,8,-6.314,5.851,12.164
8.0,0.95,8,-5.781,3.555,9.336
8.0,0.98,8,-4.272,1.416,5.688
8.0,0.99,8,-3.107,0.565,3.672
