alpha,F,n_pairs,log10_lo,log10_hi,log10_spread
2.0,0.85,10,1.557,4.47,2.913
2.0,0.9,10,0.935,3.923,2.988
2.0,0.95,10,-0.069,3.494,3.563
2.0,0.98,10,-0.903,2.644,3.547
2.0,0.99,10,-1.118,1.838,2.957
4.0,0.85,10,0.494,7.01,6.516
4.0,0.9,10,-1.249,6.436,7.685
4.0,0.95,10,-2.867,4.893,7.76
4.0,0.98,10,-2.93,2.843,5.773
4.0,0.99,10,-2.349,1.775,4.125
8.0,0.85,10,-6.057,7.298,13.356
8.0,0.9,10,-6.314,5.851,12.164
8.0,0.95,10,-5.781,3.555,9.336
8.0,0.98,10,-4.272,1.416,5.688
8.0,0.99,10,-3.107,0.565,3.672
