mode,F,n_pairs,recall_TinyComma-1.8B + memorised Llama-3.1-8B,recall_Comma-7B + memorised Comma-7B,recall_Pleias-350M + mem. Pleias-350M,recall_Pleias-1.2B + mem. Pleias-1.2B,recall_KL3M-1.7B + mem. KL3M-1.7B,recall_KL3M-520M + mem. KL3M-520M,recall_Phi-3.5-mini + mem. Phi-3.5-mini,recall_open-calm-1b + mem. open-calm-1b,recall_open-calm-3b + mem. open-calm-3b,spread,sd
single,0.05,9,0.0022,0.0045,0.00948,0.01075,0.0005,0.0,0.0036,0.00015,0.00205,0.01075,0.00373
single,0.1,9,0.00495,0.0065,0.01139,0.01863,0.0009,0.0,0.00459,0.0004,0.00191,0.01863,0.00577
single,0.15,9,0.0077,0.0085,0.01025,0.02664,0.0009,0.0,0.00624,0.00065,0.00178,0.02664,0.00784
single,0.2,9,0.01045,0.0105,0.0098,0.0347,0.0009,0.0,0.00948,0.0009,0.0023,0.0347,0.01012
single,0.3,9,0.01595,0.0145,0.0098,0.03802,0.0009,0.0,0.0181,0.00293,0.0053,0.03802,0.01123
single,0.4,9,0.02145,0.0185,0.0098,0.04134,0.0009,0.0,0.02224,0.00533,0.0083,0.04134,0.0124
single,0.5,9,0.02697,0.0225,0.0098,0.04515,0.0009,0.00067,0.0248,0.00766,0.0113,0.04449,0.01366
single,0.6,9,0.0325,0.02525,0.01189,0.05092,0.0009,0.004,0.0263,0.00924,0.01226,0.05002,0.01504
single,0.7,9,0.03803,0.02768,0.01884,0.05669,0.0009,0.00733,0.0263,0.01083,0.01322,0.05579,0.01627
oracle,0.05,6,0.03685,0.01293,0.02159,0.03751,0.00101,7e-05,,,,0.03743,0.01519
oracle,0.1,6,0.0561,0.02032,0.02723,0.05072,0.00105,0.0,,,,0.0561,0.02179
oracle,0.15,6,0.06463,0.02771,0.03476,0.06117,0.0011,0.0,,,,0.06463,0.02556
oracle,0.2,6,0.07316,0.03477,0.04314,0.07601,0.00162,0.0,,,,0.07601,0.03024
oracle,0.3,6,0.09022,0.04858,0.05596,0.09195,0.00272,0.0,,,,0.09195,0.03681
oracle,0.4,6,0.10729,0.06239,0.05996,0.10645,0.00369,0.0,,,,0.10729,0.04302
oracle,0.5,6,0.12229,0.0762,0.06397,0.11779,0.00461,0.00118,,,,0.12111,0.04815
oracle,0.6,6,0.13197,0.0922,0.07243,0.13036,0.00637,0.00432,,,,0.12764,0.05211
oracle,0.7,6,0.14164,0.10827,0.09049,0.14327,0.0085,0.00804,,,,0.13523,0.05618
